TIPO DE EVENTO,AÑO,MES,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA ,NOMBRE GIRA,Unnamed: 10
Concierto,2009,12,Corea del Sur,Seúl,Olympic Fencing Gymnasium,6341,,,"Girls' Generation Asia Tour ""Into The New World""",
Concierto,2010,2,Corea del Sur,Seúl,Olympic Fencing Gymnasium,6341,,,"Girls' Generation Asia Tour ""Into The New World""",
Concierto,2010,4,China,Shanghái,Shanghai Indoor Stadium,13000,,,"Girls' Generation Asia Tour ""Into The New World""",
Concierto,2010,10,Taiwán,Taipéi,Taipei Arena,15000,,,"Girls' Generation Asia Tour ""Into The New World""",
Concierto,2011,5,Japón,Osaka,Osaka Jo-Hall,16000,,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,6,Japón,Osaka,Osaka Jo-Hall,16000,,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,6,Japón,Saitama,Saitama Super Arena,36500,,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,6,Japón,Tokio,Yoyogi National Gymnasium,"13,291",,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,7,Japón,Hiroshima,Hiroshima Green Arena,10000,,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,7,Japón,Nagoya,Nippon Gaishi Hall,10000,,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,7,Japón,Fukuoka,Marine Messe,13000,,,Girls' Generation 1st Arena Tour In Japan,
Concierto,2011,7,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,Girls' Generation Tour,
Concierto,2011,9,Taiwán,Taipéi,Taipei Arena,15000,,,Girls' Generation Tour,
Concierto,2011,12,Singapur,Kallang,Singapore Indoor Stadium,12000,,,Girls' Generation Tour,
Concierto,2012,1,China,Hong Kong,AsiaWorld-Expo Arena,14000,,,Girls' Generation Tour,
Concierto,2012,2,Tailandia,Bangkok,Impact Arena,12000,,,Girls' Generation Tour,
Concierto,2013,2,Japón,Kobe,Kobe World Memorial Hall,8000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,2,Japón,Saitama,Saitama Super Arena,36500,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,2,Japón,Niigata,	Toki Messe,10000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,2,Japón,Fukuoka,Marine Messe,13000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,3,Japón,Hiroshima,Hiroshima Green Arena,10000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,3,Japón,Saitama,Saitama Super Arena,36500,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,3,Japón,Osaka,Osaka Jo-Hall,16000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,4,Japón,Saitama,Saitama Super Arena,36500,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,4,Japón,Nagoya,Nippon Gaishi Hall,10000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,4,Japón,Osaka,Osaka Municipal Central Gymnasium,8000,142 US$,230 US$,Girls & Peace 2nd Japan Tour,
Concierto,2013,6,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,World Tour Girls & Peace,
Concierto,2013,7,Taiwán,Taipéi,Taipei Arena,15000,,,World Tour Girls & Peace,
Concierto,2013,9,Indonesia,Yakarta,Mata Elang International Stadium,20053,,,World Tour Girls & Peace,
Concierto,2013,10,Singapur,Kallang,Singapore Indoor Stadium,12000,,,World Tour Girls & Peace,
Concierto,2013,11,China,Hong Kong,AsiaWorld-Expo Arena,14000,,,World Tour Girls & Peace,
Concierto,2013,1,Tailandia,Bangkok,Impact Arena,12000,,,World Tour Girls & Peace,
Concierto,2014,2,China,Macao,Cotai Arena,11000,,,World Tour Girls & Peace,
Concierto,2014,4,Japón,Fukuoka,Marine Messe,13000,,,Love & Peace 3rd Japan Tour,
Concierto,2014,5,Japón,Hiroshima,Hiroshima Green Arena,10000,,,Love & Peace 3rd Japan Tour,
Concierto,2014,5,Japón,Kobe,Kobe World Memorial Hall,8000,,,Love & Peace 3rd Japan Tour,
Concierto,2014,6,Japón,Nagoya,Nippon Gaishi Hall,10000,,,Love & Peace 3rd Japan Tour,
Concierto,2014,6,Japón,Osaka,Osaka Jo-Hall,16000,,,Love & Peace 3rd Japan Tour,
Concierto,2014,6,Japón,Saitama,Saitama Super Arena,36500,,,Love & Peace 3rd Japan Tour,
Concierto,2014,7,Japón,Tokio,Yoyogi National Gymnasium,"13,291",,,Love & Peace 3rd Japan Tour,
Concierto,2014,12,Japón,Tokio,Tokyo Dome,55000,,,"Girls' Generation ""The Best Live""",
Concierto,2015,11,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,"Girls' Generation 4th Tour ""Phantasia""",
Concierto,2015,12,Japón,Nagoya,Nippon Gaishi Hall,10000,,,"Girls' Generation 4th Tour ""Phantasia""",
Concierto,2015,12,Japón,Kobe,Kobe World Memorial Hall,8000,,,"Girls' Generation 4th Tour ""Phantasia""",
Concierto,2015,12,Japón,Saitama,Saitama Super Arena,36500,,,"Girls' Generation 4th Tour ""Phantasia""",
Concierto,2016,1,Tailandia,Bangkok,Impact Arena,12000,,,"Girls' Generation 4th Tour ""Phantasia""",
Concierto,2016,4,Indonesia,Tangerang,Indonesia Convention Exhibition,10000,,,"Girls' Generation 4th Tour ""Phantasia""",
Concierto,2016,5,Taiwán,Taipéi,Taipei Arena,15000,,,"Girls' Generation 4th Tour ""Phantasia""",
Showcases,2010,8,Japón,Tokio,Ariake Coliseum,10000,,,Into The New World Tokyo Showcase japan,
Showcases,2013,1,Corea del Sur,Seúl,M-Stage,66704,,,Naver Music Girls' Generation V Concert ,
Showcases,2015,7,Corea del Sur,Seúl,Banyan Tree Club & Spa Seoul,,,,"Naver Star Cast Comeback Showcase ""PARTY""",
Conciertos Participativos,2008,8,Corea del Sur,Seúl,Seoul Olympic Stadium,69950,,,SMTown Live '08,
Conciertos Participativos,2008,9,China,Shanghái,Shanghai Stadium,72000,,,SMTown Live '08,
Conciertos Participativos,2009,2,Tailandia,Bangkok,Rajamangala National Stadium,65000,,,SMTown Live '08,
Conciertos Participativos,2010,8,Corea del Sur,Seúl,Seoul Olympic Stadium,69950,40 US$,180 US$,SMTown Live '10 World Tour,
Conciertos Participativos,2010,9,EEUU,Los Angeles,Staples Center,20000,40 US$,180 US$,SMTown Live '10 World Tour,
Conciertos Participativos,2010,9,China,Shanghái,Hongkou Football Stadium,33.060,40 US$,180 US$,SMTown Live '10 World Tour,
Conciertos Participativos,2011,1,Japón,Tokio,Yoyogi National Gymnasium,"13,291",40 US$,180 US$,SMTown Live '10 World Tour,
Conciertos Participativos,2011,6,Francia,París,Le Zénith Paris,6804,55 US$,120 US$,SMTown Live in Paris,
Conciertos Participativos,2012,2,Francia,París,AccorHotels Arena (then Bercy Arena),20300,75 US$,107 US$,KBS Music Bank Live in Paris,
Conciertos Participativos,2012,5,EEUU,Anaheim,Honda Center,18336,,,SMTown Live World Tour III,
Conciertos Participativos,2012,6,Taiwán,Hsinchu,Hsinchu County Stadium,15000,,,SMTown Live World Tour III,
Conciertos Participativos,2012,8,Japón,Tokio,Tokyo Dome,55000,,,SMTown Live World Tour III,
Conciertos Participativos,2012,11,Singapur,Singapur,The Float @ Marina Bay,30000,,,SMTown Live World Tour III,
Conciertos Participativos,2013,10,China,Beijing,Beijing National Stadium (Bird’s Nest),80000,,,SMTown Live World Tour III,
Conciertos Participativos,2013,12,Corea del Sur,Goyang,KINTEX (Korea International Exhibition Center),6000,,,SMTown Week,
Conciertos Participativos,2014,8,Corea del Sur,Seúl,Seoul World Cup Stadium,66704,,,SMTown Live World Tour IV,
Conciertos Participativos,2014,10,Japón,Tokio,Tokyo Dome,55000,,,SMTown Live World Tour IV,
Conciertos Participativos,2014,8,EEUU,Los Angeles,Los Angeles Memorial Sports Arena,16740,,,KCON 2014,
Concierto,2019,1,Chile,Santiago de Chile,Estadio Nacional Julio Martínez Prádanos,"48,665",44 US$,265 US$,SMTOWN LIVE Special Stage,
Concierto,2018,4,Emiratos Árabes Unidos,Dubái,The Autism Rocks Arena,21000,,,SMTOWN Live,
Concierto,2016,4,Indonesia,Tangerang,Indonesia Convention Exhibition,10000,,,Girls' Generation,
Concierto,2015,8,EEUU,Newark,Prudential Center,16755,,,KCON 2015,
Concierto,2014,2,China,Macao,Cotai Arena at The Venetian,15000,,,Girls' Generation,
Concierto,2013,9,Indonesia,Yakarta,Mata Elang International Stadium ,20053,,,Girls' Generation World Tour: Girls & Peace,
Concierto,2013,3,Tailandia,Bangkok,Rajamangala National Stadium,65000,,,Super Joint Concert,
Concierto,2013,1,Filipinas,Manila,	SM Mall of Asia Concert Grounds,20000,,,Dream KPOP Fantasy Concert,
Concierto,2012,11,Tailandia,Bangkok,Thunderdome Stadium,15000,,,SMTOWN LIVE WORLD TOUR III,
Concierto,2011,7,Corea del Sur,Seúl,Seoul Olympic Stadium,69950,,,2011 Girls' Generation Tour,
Concierto,2012,1,China,Hong Kong,AsiaWorld-Expo Arena,14000,,,Girls' Generation Tour,
Concierto,2013,6,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,142 US$,230 US$,Girls & Peace World Tour,
Concierto,2013,9,Indonesia,Yakarta,Mata Elang International Stadium,20053,142 US$,230 US$,Girls & Peace World Tour,
Concierto,2013,10,Singapur,Singapur,Singapore Indoor Stadium,12000,142 US$,230 US$,Girls & Peace World Tour,
Concierto,2013,11,China,Hong Kong,AsiaWorld-Expo Arena,14000,142 US$,230 US$,Girls & Peace World Tour,
Concierto,2014,1,Tailandia,Bangkok,Impact Arena,12000,142 US$,230 US$,Girls & Peace World Tour,
Concierto,2014,2,Macao,Macao,Cotai Arena,14000,142 US$,230 US$,Girls & Peace World Tour,
Concierto,2014,4,Japón,Nagoya,Nippon Gaishi Hall,10000,,,Love & Peace Japan 3rd Tour,
Concierto,2015,11,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,45 US$,180 US$,Phantasia 4th Tour,
Concierto,2016,1,Japón,Osaka,Osaka Jo-Hall,16000,45 US$,180 US$,Phantasia 4th Tour,
,2016,2,Japón,Fukuoka,Marine Messe ,13000,45 US$,180 US$,Phantasia 4th Tour,
