TIPO DE EVENTO,AÑO,MES,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA ,NOMBRE GIRA
Conciertos Participativos,2008,8,Corea del Sur,Seúl,Seoul Olympic Stadium,69950,,,SMTown Live '08
Conciertos Participativos,2008,9,China,Shangai,Shanghai Stadium,72000,,,SMTown Live '08
Conciertos Participativos,2009,2,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,TVXQ - The 3rd Asia Tour: Mirotic
Conciertos Participativos,2009,12,China,Shangai,Shanghai Grand Stage,10000,,,"Girls' Generation ""Into The New World"""
Conciertos Participativos,2009,2,Tailandia,Bangkok,Rajamangala National Stadiumangala,65000,,,SMTown Live '08
Concierto,2010,12,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",80 US$,,"The 1st Concert ""SHINee World"""
Conciertos Participativos,2010,8,Corea del Sur,Seúl,Seoul Olympic Stadium,69950,,,SMTown Live '10 World Tour
Conciertos Participativos,2010,9,EEUU,Los Angeles,Staples Center,20000,,,SMTown Live '10 World Tour
Conciertos Participativos,2010,9,China,Shangai,Hongkou Football Stadium,33060,,,SMTown Live '10 World Tour
Concierto,2011,1,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,80 US$,,"The 1st Concert ""SHINee World"""
Concierto,2011,7,Taiwán,Taipei,Taipei Arena,15000,80 US$,,"The 1st Concert ""SHINee World"""
Concierto,2011,8,China,Nanjing,Nanjing Olympic Sports Center,13000,80 US$,,"The 1st Concert ""SHINee World"""
Concierto,2011,9,Singapur,Singapur,Singapore Indoor Stadium,12000,80 US$,,"The 1st Concert ""SHINee World"""
Concierto,2011,10,Japón,Nagoya,Nippon Gaishi Hall,10000,80 US$,,"The 1st Concert ""SHINee World"""
Concierto,2011,11,Japón,Osaka,Osaka Jo-Hall,16000,80 US$,,"The 1st Concert ""SHINee World"""
Showcases,2011,6,Reino Unido,Londes,Abbey Road Studios,,,,Japan Debut Premium Reception Tour
Showcases,2011,7,Japón,Fukuoka,IMS Hall,1000,,,Japan Debut Premium Reception Tour
Showcases,2011,7,Japón,Kobe,Kobe Kokusai Kaikan (Kobe International Hall),2200,,,Japan Debut Premium Reception Tour
Showcases,2011,7,Japón,Tokyo,	Nakano Sunplaza,2222,,,Japan Debut Premium Reception Tour
Showcases,2011,8,Japón,Sapporo,	Sapporo Factory Hall,2008,,,Japan Debut Premium Reception Tour
Showcases,2011,8,Japón,Nagoya,Chukyo University Culture and Civic Center – Aurora Hall,2291,,,Japan Debut Premium Reception Tour
Conciertos Participativos,2011,6,Francia,París,Accor Arena,20300,,,SMTown Live in Paris
Concierto,2012,4,Japón,Fukuoka,Marinne Messe,13000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,4,Japón,Sapporo,Makomanai Ice Arena,10024,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,5,Japón,Nagoya,Nippon Gaishi Hall,10000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,5,Japón,Osaka,Osaka Jo-Hall,16000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,5,Japón,Kobe,Kobe World Memorial Hall,8000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,5,Japón,Osaka,Osaka Jo-Hall,16000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,5,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,6,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,6,Japón,Hiroshima,Hiroshima Green Arena,10000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,7,Japón,Hiroshima,Hiroshima Green Arena,10000,80 US$,,"The 1st Japan Arena Tour ""SHINee World"""
Concierto,2012,7,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,"The 2nd Concert ""SHINee World II"""
