GRUPO;TIPO DE EVENTO;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;NOMBRE GIRA
Stray Kids;Showcase;2019;Enero;Tailandia;Bangkok;Thunder Dome;15000;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Enero;Indonesia;Yakarta;Indonesia Convention Exhibition;10000;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Febrero;Australia;Melbourne;Festival Hall;2500;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Febrero;Australia;Sídney;The Big Top;3000;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Abril;Filipinas;Manila;Araneta Coliseum;16500;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Mayo;Estados Unidos;Newark;NJ Performing Arts Center;5369;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Mayo;Estados Unidos;Newark;NJ Performing Arts Center;5369;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Mayo;Estados Unidos;Los Ángeles;Pasadena Civil Auditorium;3000;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Mayo;Estados Unidos;Houston;Revention Music Center;3464;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Julio ;Inglaterra;Londres;02 Academy Brixton;4921;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Julio ;Francia;París;Les Docks De Paris Pullman;3200;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Agosto;Alemania;Berlín;Verti Music Hall;4350;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Agosto;Rusia;Moscú;Adrenaline Stadium;8500;UNVEIL TOUR ‘I am…’
Stray Kids;Showcase;2019;Septiembre;Japón;Yokohama;Pacifico Yokohoma National Hall;5002;UNVEIL TOUR ‘I am…’
Stray Kids;Concierto;2019;Noviembre;Corea del Sur;Seúl;Olympic Park Hall;2400;District 9 : Unlock
Stray Kids;Concierto;2019;Noviembre;Corea del Sur;Seúl;Olympic Park Hall;2400;District 9 : Unlock
Stray Kids;Concierto;2020;Enero;Estados Unidos;Nueva York;Hulu Theater;5500;District 9 : Unlock
Stray Kids;Concierto;2020;Febrero;Estados Unidos;Atlanta;Fox Theater;5048;District 9 : Unlock
Stray Kids;Concierto;2020;Febrero;Estados Unidos;Dallas;The Theatre at grand prairie;6350;District 9 : Unlock
Stray Kids;Concierto;2020;Febrero;Estados Unidos;Chicago;Rosemont Theater;4400;District 9 : Unlock
