GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
BTS;"BTS 1st World Tour ""BTS Live Trilogy: Episode II The Red Bullet""";2014;10;Corea del Sur;Seúl;AX Korea ;2500;Sin datos;Sin datos
BTS;"BTS 1st World Tour ""BTS Live Trilogy: Episode II The Red Bullet""";2014;11;Japón;Kobe ;Kobe International Hall;4000;80,00 USD;150,00 USD
BTS;"BTS 1st World Tour ""BTS Live Trilogy: Episode II The Red Bullet""";2014;11;Japón;Tokio;Tokyo Internacional Forum Hall;5012;50,00 USD;85,00 USD
BTS;"BTS 1st World Tour ""BTS Live Trilogy: Episode II The Red Bullet""";2014;12;Filipinas ;Manila ;MOA Arena ;20000;100,00 USD;250,00 USD
BTS;"BTS 1st World Tour ""BTS Live Trilogy: Episode II The Red Bullet""";2014;12;Singapur ;Singapur;Xingyu Performing Arts Center ;2000;100,00 USD;200,00 USD
BTS;"BTS 1st World Tour ""BTS Live Trilogy: Episode II The Red Bullet""";2014;12;Tailandia ;Bangkok;Chaengwattana Hall ;10000;80,00 USD;150,00 USD
BTS;"BTS 1st Japan Tour ""Wake Up: Open Your Eyes""";2015;2;Japón;Tokio;Makuhari Messe Hall ;9000;50,00 USD;100,00 USD
BTS;"BTS 1st Japan Tour ""Wake Up: Open Your Eyes""";2015;2;Japón;Osaka ;Festival Hall ;2700;50,00 USD;100,00 USD
BTS;"BTS 1st Japan Tour ""Wake Up: Open Your Eyes""";2015;2;Japón;Nagoya ;Zepp Nagoya ;1864;50,00 USD;100,00 USD
BTS;"BTS 1st Japan Tour ""Wake Up: Open Your Eyes""";2015;2;Japón;Fukuoka ;Zepp Fukuoka ;1526;50,00 USD;100,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;3;Taiwán;Taipéi;New Taipei City Exhibition Hall;7000;90,00 USD;160,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;6;Malasia ;Kuala Lumpur ;Mega Star Arena ;5000;74,87 USD;143,45 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Australia ;Sídney;UNSW Roundhouse ;2200;129,00 USD;199,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Australia ;Melbourne ;Plenary 1 ;1482;89,00 USD;199,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Estados Unidos ;Nueva York ;Best Buy Theater ;2100;65,00 USD;205,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Estados Unidos ;Dallas ;Verizon Theater ;6350;65,00 USD;205,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Estados Unidos ;Chicago;Rosemont Theater;4400;65,00 USD;205,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Estados Unidos ;Los Ángeles;Club Nokia ;2356;65,00 USD;205,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;México ;Ciudad de México;Pabellon Oeste ;3500;76,11 USD;142,07 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;7;Brasil ;Sao Paulo ;Audio Club ;3000;56,83 USD;86,10 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;8;Chile ;Santiago ;Movistar Arena ;16522;17,84 USD;107,01 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;8;Tailandia ;Bangkok;Thunder Dome;15000;80,00 USD;150,00 USD
BTS;"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ";2015;8;China ;Hong Kong ;Asia World Expo Arena ;14000;61,86 USD;203,63 USD
BTS;"BTS 1st Concert ""BTS Live Trilogy: Episode 1 BTS Begins""";2015;3;Corea del Sur;Seúl;Olympic Park Hall ;2452;70,00 USD;120,00 USD
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage""";2015;9;Indonesia ;Yakarta ;Kasablanca Hall;5500;80,00 USD;140,00 USD
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage""";2015;11;Corea del Sur;Seúl;SK Olympic Handball Gymnasium;6500;70,00 USD;120,00 USD
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage""";2015;12;Japón;Yokohama ;Yokohama Arena ;17000;90,00 USD;160,00 USD
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage""";2015;12;Japón;Kobe ;Kobe World Memorial Hall;8000;80,00 USD;150,00 USD
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""";2016;5;Corea del Sur;Seúl;Olympic Gymnastics Arena ;15000;Sin datos;Sin datos
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""";2016;6;Taiwán;Taipéi;Hsinchuang Gymnasium ;7125;Sin datos;Sin datos
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""";2016;6;China ;Macao ;Studio City Event Center ;22000;61,32 USD;235,28 USD
