Column1;Column2;Column3;Column4;Column5;Column6
D.Q;디큐;JL Entercom;2012;Mujeres;4
Goddess;가디스;KW Entertainment;2012;Mujeres;4
LXIA;릭시아;2J Production;2012;Mujeres;4
Ne.P;엔이피;Naeum Entertainment;2012;Mujeres;4
Tinus;티너스;T&I Cultures;2012;Mujeres;4
D-UNIT;디유닛;D-Business Entertainment;2012 - 2013;Mujeres;4
E2RE;이투알이;CS Happy Entertainment;2012 - 2013;Mujeres;4
She'z;쉬즈;Line Entertainment;2012 - 2014;Mujeres;4
Tiny-G;타이니지;GNG Production;2012 - 2015;Mujeres;4
The SeeYa;더 씨야;MBK Entertainment;2012 - 2016;Mujeres;4
Crayon Pop;크레용팝;Chrome Entertainment;2012 - 2017;Mujeres;4
TWO X;투엑스;Star Gaze Entertainment;2012 - 2017;Mujeres;4
FlaShe;플래쉬;Play Music Entertainment;2012 - 2020;Mujeres;4
Odd Eye;오드아이;Fair Music;2013;Mujeres;4
T-ara N4[n 16]​;티아라 N4;Core Contents Media;2013;Mujeres;4
Purplay;퍼플레이;Purplei Entertainment;2013 - 2014;Mujeres;4
The Gloss;더 글로스;MGMC;2013 - 2014;Mujeres;4
K-Girls;케이걸즈;Beauty Korea;2013 - 2015;Mujeres;4
Heart Rabbit Girls;하트래빗걸스;Yoon Story Entertainment;2013 - 2016;Mujeres;4
AGirls;에이걸스;StarBay Entertainment;2013 - 2017;Mujeres;4
Bestie;베스티;YNB Entertainment;2013 - 2018;Mujeres;4
Wassup;와썹;Sony Music Korea Entertainment;2013 - 2019;Mujeres;4
Aila;아일라;Plane Entertainment;2014;Mujeres;4
Kiss&Cry;키스&크라이;Winning InSight;2014;Mujeres;4
1PS;원피스;Maroo Entertainment;2014 - 2015;Mujeres;4
4G;넷지;Heuk Ggo Entertainment;2014 - 2015;Mujeres;4
4L;포엘;Jade Contents Media;2014 - 2015;Mujeres;4
Bob Girls;단발머리;Chrome Entertainment;2014 - 2015;Mujeres;4
Pritz;프리츠;Pandagram;2014 - 2015;Mujeres;4
Scarlet;스칼렛;Funny Collection Entertainment;2014 - 2015;Mujeres;4
TOP.IC;타픽;HiCC Media;2014 - 2015;Mujeres;4
A-Fati;에이파티;CoolWave Entertainment;2014 - 2016;Mujeres;4
A.N.D.S;걸그룹 아는동생;CGM Entertainment;2014 - 2016;Mujeres;4
Girl Hood;소녀시절;SC Entertainment;2014 - 2016;Mujeres;4
N*White;앤화이트;J&J Entertainment;2014 - 2016;Mujeres;4
