GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
BOB4;In Entertainment;2012;2012;Hombres;4;0;Sin datos;
D.Q;JL Entercom;2012;2012;Mujeres;4;0;Sin datos;
Goddess;KW Entertainment;2012;2012;Mujeres;4;0;Sin datos;
LXIA;2J Production;2012;2012;Mujeres;4;0;Sin datos;
Ne.P;Naeum Entertainment;2012;2012;Mujeres;4;0;Sin datos;
Tinus;T&I Cultures;2012;2012;Mujeres;4;0;Sin datos;
D-UNIT;D-Business Entertainment;2012;2013;Mujeres;4;0;Sin datos;
E2RE;CS Happy Entertainment;2012;2013;Mujeres;4;0;Sin datos;
She'z;Line Entertainment;2012;2014;Mujeres;4;0;Sin datos;
Tiny-G;GNG Production;2012;2015;Mujeres;4;0;Sin datos;
The SeeYa;MBK Entertainment;2012;2016;Mujeres;4;0;Sin datos;
Crayon Pop;Chrome Entertainment;2012;2017;Mujeres;4;0;Sin datos;
TWO X;Star Gaze Entertainment;2012;2017;Mujeres;4;0;Sin datos;
FlaShe;Play Music Entertainment;2012;2020;Mujeres;4;0;Sin datos;
Odd Eye;Fair Music;2013;2013;Mujeres;4;0;Sin datos;
T-ara N4;Core Contents Media;2013;2013;Mujeres;4;0;Sin datos;
Purplay;Purplei Entertainment;2013;2014;Mujeres;4;0;Sin datos;
The Gloss;MGMC;2013;2014;Mujeres;4;0;Sin datos;
K-Girls;Beauty Korea;2013;2015;Mujeres;4;0;Sin datos;
Heart Rabbit Girls;Yoon Story Entertainment;2013;2016;Mujeres;4;0;Sin datos;
AGirls;StarBay Entertainment;2013;2017;Mujeres;4;0;Sin datos;
Bestie;YNB Entertainment;2013;2018;Mujeres;4;0;Sin datos;
Wassup;Sony Music Korea Entertainment;2013;2019;Mujeres;4;0;Sin datos;
Aila;Plane Entertainment;2014;2014;Mujeres;4;0;Sin datos;
Kiss&Cry;Winning InSight;2014;2014;Mujeres;4;0;Sin datos;
1PS;Maroo Entertainment;2014;2015;Mujeres;4;0;Sin datos;
4G;Heuk Ggo Entertainment;2014;2015;Mujeres;4;0;Sin datos;
4L;Jade Contents Media;2014;2015;Mujeres;4;0;Sin datos;
Bob Girls;Chrome Entertainment;2014;2015;Mujeres;4;0;Sin datos;
Pritz;Pandagram;2014;2015;Mujeres;4;0;Sin datos;
Scarlet;Funny Collection Entertainment;2014;2015;Mujeres;4;0;Sin datos;
TOP.IC;HiCC Media;2014;2015;Mujeres;4;0;Sin datos;
A-Fati;CoolWave Entertainment;2014;2016;Mujeres;4;0;Sin datos;
A.N.D.S;CGM Entertainment;2014;2016;Mujeres;4;0;Sin datos;
Girl Hood;SC Entertainment;2014;2016;Mujeres;4;0;Sin datos;
N*White;J&J Entertainment;2014;2016;Mujeres;4;0;Sin datos;
Rainbow Blaxx;DSP Media;2014;2016;Mujeres;4;0;Sin datos;
Spica.S;CJ E&M;2014;2017;Mujeres;4;0;Sin datos;
Melody Day;Kakao M;2014;2018;Mujeres;4;0;Sin datos;
Hot Place (ex BADKIZ);ZOO Entertainment;2014;2020;Mujeres;4;0;Sin datos;
4TEN;Jungle Entertainment;2014; presente;Mujeres;4;0;Sin datos;
Mamamoo;Rainbow Bridge World;2014; presente;Mujeres;4;0;Sin datos;
4Some;Sugar Entertainment;2015;2016;Mujeres;4;0;Sin datos;
A.H.H.A;YellOCean;2015;2016;Mujeres;4;0;Sin datos;
ACE;Worthy Entertainment;2015;2016;Mujeres;4;0;Sin datos;
ASHA;NSoul Entertainment;2015;2016;Mujeres;4;0;Sin datos;
Dia Girls;Diamond One Entertainment;2015;2016;Mujeres;4;0;Sin datos;
FIONA;Supreme Entertainment;2015;2016;Mujeres;4;0;Sin datos;
LoveUs;Creative Su Entertainment;2015;2016;Mujeres;4;0;Sin datos;
