GRUPO,NOMBRE GIRA,AÑO,MES,MERCADO,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA
Girls' Generation (SNSD),SMTown Live '10 World Tour,2010,8,Corea del Sur,Corea del Sur,Seúl,Seoul Olympic Stadium,69950, $40.00 , $180.00 
Girls' Generation (SNSD),SMTown Live '10 World Tour,2010,9,Estados Unidos,Estados Unidos,Los Ángeles,Staples Center,20000, $40.00 , $180.00 
Girls' Generation (SNSD),SMTown Live '10 World Tour,2010,9,China,China,Shanghái,Hongkou Football Stadium,33060, $40.00 , $180.00 
Girls' Generation (SNSD),SMTown Live '10 World Tour,2011,1,Japón,Japón,Tokio,Yoyogi National Gymnasium,13.291, $40.00 , $180.00 
Girls' Generation (SNSD),SMTown Live in Paris,2011,6,Europa,Francia,París,Le Zénith Paris,6804, $55.00 , $120.00 
ARTMS,Moonshot in US,2024,8,Estados Unidos,Estados Unidos,Fort Lauderdale,Broward Center,5455, Sin datos , Sin datos 
ARTMS,Moonshot in US,2024,8,Estados Unidos,Estados Unidos,Orlando,Walt Disney Theater,2265, Sin datos , Sin datos 
ARTMS,Moonshot in US,2024,8,Estados Unidos,Estados Unidos,Houston,Bayou Music Center,3700, $75.50 , Sin datos 
ARTMS,Moonshot in US,2024,8,Estados Unidos,Estados Unidos,Dallas,Music Hall at Fair Park,3420, Sin datos , Sin datos 
Girls' Generation (SNSD),KBS Music Bank Live in Paris,2012,2,Europa,Francia,París,AccorHotels Arena (then Bercy Arena),20300, $75.00 , $107.00 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,2,Japón,Japón,Kōbe,Kobe World Memorial Hall,8000, $142.00 , $230.00 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,2,Japón,Japón,Saitama,Saitama Super Arena,36500, $142.00 , $230.00 
ARTMS,Moonshot in US,2024,9,Estados Unidos,Estados Unidos,Tacoma,Pantages Theatre,2703, $49.50 , Sin datos 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,2,Japón,Japón,Niigata,"	Toki Messe",10000, $142.00 , $230.00 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,2,Japón,Japón,Fukuoka,Marine Messe,13000, $142.00 , $230.00 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,3,Japón,Japón,Hiroshima,Hiroshima Green Arena,10000, $142.00 , $230.00 
ARTMS,Moonshot in Latinamerica,2024,9,Brasil,Brasil,São Paulo,Terra SP,4000, Sin datos , Sin datos 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,3,Japón,Japón,Saitama,Saitama Super Arena,36500, $142.00 , $230.00 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,3,Japón,Japón,Osaka,Osaka Jo-Hall,16000, $142.00 , $230.00 
Girls' Generation (SNSD),Girls & Peace 2nd Japan Tour,2013,4,Japón,Japón,Saitama,Saitama Super Arena,36500, $142.00 , $230.00 
