GEN;GRUPO;EMPRESA ;AÑOS;AÑO_DEBUT;AÑO_ FIN;DURACIÓN;GENERO;N_MIEMBROS;CHILE_(SI/NO)
Generación 1;Hyun Jin-young & Wawa;S.M. Entertainment;1990;1990;1990;1;Hombres;3;0
Generación 1;Yacha;;1990;1990;1990;1;Hombres;5;0
Generación 1;Light and Salt;;"1990 - 1999; 2018";1990;2018;28;Hombres;3;0
Generación 1;ZAM;DSP Media;1992 - 1995;1992;1995;3;Mixto;4H - 1M;0
Generación 1;Seo Taiji and Boys;Bando Eumban;1992 - 1996;1992;1996;4;Hombres;3;0
Generación 1;Deux;K&C Music;1993 - 1995;1993;1995;2;Hombres;2;0
Generación 1;Tin Tin Five;S.M. Entertainment;"1993 - 2005; 2010";1993;2010;17;Hombres;5;0
Generación 1;Two Two;Oasis;1994 - 1996;1994;1996;2;Mixto;3H - 1M;0
Generación 1;MUE;DSP Media;1994 - 1999;1994;1999;5;Mixto;4H - 1M;0
Generación 1;Roo'ra;World Music Entertainment;"1994 - 2001; 2009";1994;2009;15;Mixto;2H - 2M;0
Generación 1;Cool;Genie Music;1994 - 2015;1994;2015;21;Mixto;2H - 1M;0
Generación 1;DJ Doc;ENT102;1994 - 2025;1994;2025;31;Hombres;3;0
Generación 1;Idol;DSP Media;1995 - 1997;1995;1997;2;Hombres;2;0
Generación 1;R.ef;;"1995 - 1999; 2004";1995;2004;9;Hombres;3;0
Generación 1;Turbo;The Turbo Company;"1995 - 2001; 2015 - 2025";1995;2015;20;Hombres;3;0
Generación 1;Young Turks Club;;1996 - 2012;1996;2012;16;Mixto;3H - 2M;0
Generación 1;Uptown;RIAK;"1996 - 2000; 2006 - 2010";1996;2010;14;Mixto;3H - 1M;0
Generación 1;Goofy;;1996 - 2025;1996;2025;29;Hombres;3;0
Generación 1;H.O.T.;S.M. Entertainment;"1996 - 2001; 2018 - 2025";1996;2025;29;Hombres;5;0
Generación 1;Diva;Cream Records;1997 - 2005;1997;2005;8;Mujeres;4;0
Generación 1;Baby V.O.X;DR Music;1997 - 2006;1997;2006;9;Mujeres;9;0
Generación 1;S.E.S.;S.M. Entertainment;"1997 - 2002; 2016 - 2017";1997;2017;20;Mujeres;3;0
Generación 1;NRG;Music Factory Entertainment;"1997 - 2005; 2017 - 2018";1997;2018;19;Hombres;3;0
Generación 1;Eve;WoonJin Music;1997 - 2025;1997;2025;28;Hombres;4;0
Generación 1;Jinusean;YG Entertainment;1997 - 2025;1997;2025;28;Hombres;2;0
Generación 1;Sechs Kies;YG Entertainment;"1997 - 2000; 2016 - 2025";1997;2016;28;Hombres;6;0
Generación 1;O-24;Eunsung Entertainment;1998 - 2002;1998;2002;4;Mujeres;3;0
Generación 1;Sharp;World Music Entertainment;1998 - 2002;1998;2002;4;Mixto;2H - 2M;0
Generación 1;CB Mass;Stone Music Entertainment;1998 - 2003;1998;2003;5;Hombres;3;0
Generación 1;Fin.K.L;DSP Media;1998 - 2005;1998;2005;7;Mujeres;4;0
Generación 1;1TYM;YG Entertainment;1998 - 2006;1998;2006;8;Hombres;4;0
Generación 1;Han's Band;;1998 - 2008;1998;2008;10;Mujeres;3;0
Generación 1;4men;MAJOR9;1998 - 2019;1998;2019;21;Hombres;2;0
Generación 1;Koyote;Trifecta Entertainment;1998 - 2025;1998;2025;27;Mixto;2H - 1M;0
Generación 1;Shinhwa;S.M. Entertainment;1998 - 2025;1998;2025;27;Hombres;6;0
Generación 1;Y2K;;1999 - 2002;1999;2002;3;Hombres;3;0
Generación 1;T.T.Ma;Music Factory Entertainment;1999 - 2005;1999;2005;6;Mujeres;5;0
Generación 1;Cleo;Doremi;1999 - 2005;1999;2005;6;Mujeres;3;0
Generación 1;Chakra;Cream Records;1999 - 2006;1999;2006;7;Mujeres;5;0
Generación 1;Click-B;DSP Media;"1999 - 2006; 2011 - 2015";1999;2016;16;Hombres;7;0
Generación 1;As One;Rock Records;1999 - 2017;1999;2017;18;Mujeres;2;0
Generación 1;Bulldog Mansion;Tube Amp Music;1999 - 2025;1999;2025;26;Hombres;4;0
Generación 1;G.o.d.;JYP Entertainment;1999 - 2025;1999;2025;26;Hombres;5;0
Generación 1;Fly to the Sky;S.M. Entertainment;1999 - 2025;1999;2025;26;Hombres;2;0
Generación 1;Papaya;Cream Entertainment;2000 - 2001;2000;2001;1;Mujeres;5;0
Generación 1;UN;NH Media;2000 - 2005;2000;2005;5;Hombres;2;0
Generación 1;5tion;IV Entertainment;"2000 - 2006; 2010 - 2025";2000;2025;25;Hombres;5;0
Generación 1;AL;Mascom Company;2001 - 2002;2001;2002;1;Mujeres;4;0
Generación 1;Kiss;J-Entercom;2001 - 2002;2001;2002;1;Mujeres;3;0
Generación 1;Shinvi;Cid.K Entertainment;2001 - 2002;2001;2002;1;Mujeres;3;0
Generación 1;jtl;Yejeon Media;2001 - 2003;2001;2003;2;Hombres;3;0
Generación 1;M.I.L.K.;BM Entertainment;2001 - 2003;2001;2003;2;Mujeres;4;0
Generación 1;Nazca;;2001 - 2004;2001;2004;3;Mujeres;6;0
Generación 1;Sugar;S.M. Entertainment;2001 - 2006;2001;2006;5;Mujeres;4;0
Generación 1;The Jadu;The House Company Entertainment;2001 - 2008;2001;2008;7;Mixto;1H - 1M;0
Generación 1;Turtles;Pine Entertainment;2001 - 2008;2001;2008;7;Mixto;1H - 2M;0
Generación 1;Jewelry;Star Empire Entertainment;"2001 - 2015; 2018; 2022";2001;2022;21;Mujeres;4;0
Generación 1;Clazziquai Project;Fluxus Music;2001 - 2025;2001;2025;24;Mixto;2H - 1M;0
Generación 1;LUV;SidusHQ;2002 - 2003;2002;2003;1;Mujeres;3;0
Generación 1;Isak N Jiyeon;S.M. Entertainment;2002 - 2004;2002;2004;2;Mujeres;2;0
